raw,rewritten,similarity
"valvular heart disease constitutes the majority of all causes of heart disease in pregnancy. in the presence of valvular heart disease, the necessary haemodynamic changes of pregnancy might cause heart failure, leading to severe maternal and fetal morbidity and even mortality. in lower-income countries, rheumatic heart disease remains one of the major causes of death related to pregnancy [6]. in low-income countries, rheumatic heart disease is found in 60% to 80% of the pregnant women with heart disease, and 10% to 30% have a congenital disorder including congenital valve disorders [4]. the most common valvular lesion of rheumatic heart disease is mitral stenosis. this valvular lesion can be the cause of extreme disability and even mortality during pregnancy due to an increase in the transvalvular gradient and a rise in left atrial pressure. the maternal mortality associated with mitral stenosis is stratified by new york heart association (nyha) classification: class i, 0.1%; class ii, 0.3%; class iii, 5.5%; and class iv, 6.0%. most patients are in class i or ii at presentation, but 12% to 25% of patients are in class iii or iv [14].","valvular heart disease is the most common cause of heart disease in pregnancy. when this condition is present, the hemodynamic changes that occur during pregnancy can precipitate heart failure, resulting in significant maternal and fetal complications and even death. in lower-income countries, rheumatic heart disease is still a leading cause of pregnancy-related deaths. in these regions, 60% to 80% of pregnant women with heart disease suffer from rheumatic heart disease, while 10% to 30% have congenital heart disorders, including congenital valve defects. among the valvular lesions associated with rheumatic heart disease, mitral stenosis is the most prevalent. this condition can lead to severe disability or even death during pregnancy due to an increased transvalvular gradient and elevated left atrial pressure. maternal mortality rates for mitral stenosis vary according to the new york heart association (nyha) classification: 0.1% for class i, 0.3% for class ii, 5.5% for class iii, and 6.0% for class iv. although most patients present in nyha class i or ii, 12% to 25% are in class iii or iv.",0.98957896
"abstract chytridiomycosis is an emerging disease caused by the fungal pathogen batrachochytrium dendrobatidis (bd) that poses a serious threat to frog populations worldwide. several studies have shown that inoculation of bacterial species janthinobacterium lividum (jl) can mitigate the impact of the disease. however, there are many questions regarding this interaction. a mathematical model of a frog population infected with chytridiomycosis is developed to investigate how the inoculation of jl could reduce the impact of bd disease on frogs. the model also illustrates the important role of temperature in disease dynamics. the model simulation results suggest possible control strategies for jl to limit the impact of bd in various scenarios. however, a better knowledge of jl life cycle is needed to fully understand the interaction of jl, bd, temperature and frogs.","chytridiomycosis is an emerging disease triggered by the fungal pathogen batrachochytrium dendrobatidis (bd), which severely threatens frog populations around the globe. research has indicated that the introduction of the bacterium janthinobacterium lividum (jl) can help mitigate the disease's effects. despite these findings, numerous questions about this interaction remain unanswered. to explore how jl inoculation may reduce the impact of bd on frogs, a mathematical model of a chytridiomycosis-infected frog population has been developed. this model also highlights temperature's significant influence on disease dynamics. simulation outcomes suggest potential strategies for using jl to curb the effects of bd in various scenarios. still, a deeper understanding of jl's life cycle is essential to fully grasp the interactions among jl, bd, temperature, and frogs.",0.9801948
"the utility model provides an unmanned aerial vehicle for power line prunes, the dish washer comprises a dish washer body, the organism top is equipped with spiral wing, the spiral wing of organism top drives through the drive arrangement who installs on the organism, it thoughtlessly controls the ware unit to be equipped with the receipt at bottom of the body, be equipped with camera device and mounting bracket at the underpart, the end connection of mounting bracket and connecting rod, the other end and the motor of connecting rod are connected, the tip of motor shaft is connected with laser generator in the motor, last at least one the laser cutting head that is equipped with of laser generator. the utility model provides a can prune the unmanned aerial vehicle of eminence branch.","the utility model discloses an unmanned aerial vehicle designed for pruning power lines. the aerial vehicle comprises a main body whose top is equipped with spiral wings. these spiral wings are driven by a drive mechanism mounted on the body, which in turn controls a ware unit fitted with a receiver positioned at the bottom. additionally, a camera device and a mounting bracket are installed on the underside of the body. one end of the mounting bracket connects to a connecting rod, while the other end of the rod is attached to a motor. the tip of this motor’s shaft connects to a laser generator that is equipped with at least one laser cutting head. in summary, the utility model provides an unmanned aerial vehicle capable of pruning elevated branches on power lines.",0.8028661
"the present invention relates to a method for producing a filter including a polyvinylidene fluoride (pvdf) nanofiber on both sides of a base material. more specifically, the present invention relates to a filter produced by the following steps: electrospinning a high melting point polyvinylidene fluoride solution and a low melting point polyvinylidene fluoride solution on both sides of a base material; and laminating a high melting point polyvinylidene fluoride nanofiber non-woven fabric and a low melting point polyvinylidene fluoride nanofiber non-woven fabric, respectively. the present invention further relates to a production method thereof. according to the present invention, the low melting point polyvinylidene fluoride functions as an additive by undergoing a heat fusion process, and thus separation between the base material and the nanofiber non-woven fabric is avoided, without requiring the use of additional additives such as hotmelt.","this invention describes a method for making a filter that features polyvinylidene fluoride (pvdf) nanofibers on both sides of a base material. in particular, the filter is produced by electrospinning a high melting point pvdf solution and a low melting point pvdf solution on opposite sides of the base material, followed by the lamination of the resulting high melting point pvdf nanofiber nonwoven fabric and low melting point pvdf nanofiber nonwoven fabric. furthermore, the invention provides a technique for its production. in this method, the low melting point pvdf acts as an additive through a heat fusion process, which prevents separation between the base material and the nanofiber nonwoven fabric without the need for additional additives such as hotmelt adhesives.",0.9589072
"the author provides an overview of heinz werner's life and contributions to the field of developmental psychology during the first half of the 20th century. she focuses on his early work in vienna and munich as well as his tenure at the psychological institute in hamburg, up through the time when he became a named professor in psychology at clark university. recognized as one of the founders of developmental psychology, heinz werner worked in the areas of perceptual development, comparative psychology, and symbol formation. versatile in rigorous experimental methodologies, and in observational and phenomenological methodologies, werner's approach to development stood in contrast to other approaches of development, both past and current. for werner, development was a heuristic, a way of looking at processes in a variety of domains, including ontogeny, phylogeny, microgenesis, biology, developmental psychopathology, neuropsychology, and comparative psychology. werner viewed development as proceeding from a state of relative globality and lack of differentiation to a state of increasing differentiation, articulation, and hierarchical integration, but he also stressed that individuals can function at different developmental levels under different times and conditions. werner's holistic, organismic, comparative, and contextual approach to development transcended interdisciplinary boundaries, allowing him to study the interrelatedness between thought, language, feeling, perception, and culture.","the author outlines heinz werner's life and his impact on developmental psychology during the early 20th century. the focus is on his formative work in vienna and munich, his period at the psychological institute in hamburg, and culminates with his appointment as a distinguished professor of psychology at clark university. widely acknowledged as one of the pioneers in developmental psychology, werner made significant contributions to perceptual development, comparative psychology, and symbol formation. his expertise spanned both strict experimental techniques as well as observational and phenomenological methods, setting his developmental theories apart from other historical and contemporary approaches. for werner, development served as a heuristic—a lens for examining processes across various fields such as ontogeny, phylogeny, microgenesis, biology, developmental psychopathology, neuropsychology, and comparative psychology. he proposed that development moves from a state of general, undifferentiated unity towards one of increasing differentiation, articulation, and hierarchical organization, while also emphasizing that individuals may operate at different developmental stages depending on the circumstances. his holistic, organismic, comparative, and contextual approach transcended traditional disciplinary boundaries, facilitating an integrated study of how thought, language, emotion, perception, and culture interrelate.",0.98778284
"the article presents and analyzes the results of the empirical studies of the ideas about the family of the female students depending on the type of gender identity. it compiled the family portrait under the representations of the girls with the feminine and adroginnym types of gender identity. the findings could be useful in the practice of the psychological counseling, psychotherapy practice.",this article presents and examines empirical findings on female students' perceptions of family according to their type of gender identity. it constructs a family portrait based on the perspectives of girls with both feminine and androgynous gender identities. the findings may prove useful in psychological counseling and psychotherapy practices.,0.8384836
"the existing distributed database is mainly based on the limited scale network environment. many systems implement algorithms are difficult to apply when it needs to be expanded or involved into the field of distributed query processing, distributed transaction processing and data replication. in this paper, one real-time transaction management architecture and its details are proposed to improve the efficacy of sql processing based on distributed database system. the seven primary functional models in the server cluster part and four functional models in the distributed database part are designed to enhance the query function such as insert or update in our network environment. the experiments and results proved that our method is more efficient than traditional methods.","the current distributed database operates primarily within a network environment of limited scale. many systems implement algorithms that become challenging to apply when the system needs to scale up or integrate into domains such as distributed query processing, distributed transaction processing, and data replication. in this paper, a real-time transaction management architecture is presented along with its detailed components aimed at enhancing sql processing efficiency in a distributed database system. we designed seven core functional models for the server cluster and four functional models for the distributed database to improve query capabilities, such as insert and update operations, in our network environment. experimental results demonstrate that our approach is more efficient than traditional methods.",0.95094806
"using raising operators and geometric arguments, we establish formulas for the k-theory classes of degeneracy loci in classical types. we also find new determinantal and pfaffian expressions for classical cases considered by giambelli: the loci where a generic matrix drops rank, and where a generic symmetric or skew-symmetric matrix drops rank. in an appendix, we construct a k-theoretic euler class for even-rank vector bundles with quadratic form, refining the chow-theoretic class introduced by edidin and graham. we also establish a relation between top chern classes of maximal isotropic subbundles, which is used in proving the type d degeneracy locus formulas.","by employing raising operators and geometric reasoning, we derive formulas for the k-theory classes of degeneracy loci in classical types. we also obtain new determinantal and pfaffian representations for classical cases originally examined by giambelli—specifically, the loci where a generic matrix, as well as a generic symmetric or skew-symmetric matrix, experiences a drop in rank. in an appendix, we construct a k-theoretic euler class for even-rank vector bundles equipped with a quadratic form, which refines the chow-theoretic class introduced by edidin and graham. additionally, we establish a relationship between the top chern classes of maximal isotropic subbundles, a connection that plays a crucial role in proving the type d degeneracy locus formulas.",0.9903495
"chemical and phase transformations in the course of synthesis of sodium titanate na2ti3o7 have been studied. prepared sodium titanates have been characterized by x-ray powder diffraction analysis, scaning electron microscopy, and impedance spectroscopy, their electrochemical testing has been conducted. mechanochemical interaction of titanium dioxide and sodium carbonate at the grinding stage has been revealed. the utilization of mesoporous titanium dioxide have been shown to provide a considerable decrease of final annealing temperature. thus obtained titanates exhibit high electrochemical capacity.","phase and chemical changes during the synthesis of sodium titanate (na₂ti₃o₇) have been investigated. the produced sodium titanates were analyzed using x-ray powder diffraction, scanning electron microscopy, and impedance spectroscopy, and their electrochemical properties were evaluated. a mechanochemical reaction between titanium dioxide and sodium carbonate was observed during the grinding stage. additionally, the use of mesoporous titanium dioxide was found to significantly reduce the required final annealing temperature. the titanates obtained through this process exhibit high electrochemical capacity.",0.9761876
"objectivesthe aim of this study was to evaluate the ultrasonographic features for differentiation of follicular thyroid lesions.methodsultrasonographic features of surgically confirmed 56 follicular adenoma (fa), 22 follicular carcinoma (fc), and 100 nodular hyperplasia (nh) were evaluated using uni","objective: this study aimed to assess the ultrasonographic characteristics that could help differentiate between follicular thyroid lesions. methods: the ultrasonographic features were analyzed using univariate analysis on surgically confirmed cases, which included 56 instances of follicular adenoma (fa), 22 cases of follicular carcinoma (fc), and 100 instances of nodular hyperplasia (nh).",0.98064506
"the invention provides a flocculation container stirring structure of a washing machine. a horizontally-arranged rotating shaft is put in a flocculation container body and is provided with a swing rod swinging around the same; the outside of the flocculation container is provided with a driving motor; the driving motor drives the swing rod to swing through an eccentric shaft. the invention also provides a washing machine with the flocculation container stirring structure. with the flocculation container stirring structure, washing water or rinsing water with dissolved flocculating agents in flocculation containers can be stirred, so that the flocculating agent dissolving rate and the flocculation reaction rate are increased. the flocculation container stirring structure is simple, is remarkable in effect and is suitable for popularization and application.","the invention introduces a stirring mechanism for a washing machine's flocculation container. it features a horizontally arranged rotating shaft installed inside the container, equipped with a swing rod that pivots around it. on the exterior of the container, a driving motor is mounted. this motor, through an eccentric shaft, causes the swing rod to oscillate. additionally, the invention encompasses a washing machine incorporating this stirrer design. with the aid of this mechanism, flushing or rinsing water containing dissolved flocculating agents is effectively agitated in the flocculation container, thereby enhancing both the rate at which the agents dissolve and the speed of the flocculation reaction. the design is straightforward, highly effective, and well-suited for broad adoption.",0.9476178
"ours is the era of convergence in mobility, communication, computation, etc. which finally leads to a new class of machines hitherto thought impossible. these kinds of complexities raise very fundamental questions in modern science and technology from basic mathematical theory point of view. one of the issues, which we are interested in this work is nature of a communication process on an extremely volatile time-varying network where nodes can join or leave at its own and edges appear in a predictable or unpredictable time window as per mobility, communication and policy parameters. keeping these issues in consideration, we propose a simple framework to represent mobile networks dynamically in a spatio-temporal fashion and move towards a new model of communication process where edges and nodes can appear unpredictably with time which is most natural setting in communication networks. we illustrate some simple representations, algebraic structure and how it affects the connectivity of the network at various time instants. an illustrative example is also presented to outline the usage of this framework. future directions are outlined as analysis of system utility on dynamic networks under the given capacity constraint which will result in theorems stating the robustness, survivability and connectivity in the presence of volatile disruptions due to many factors affecting physical layer. these new representations will be explored in simulation and in real life experiments to ascertain their efficacy.","our current era is marked by the convergence of mobility, communication, and computation, among other fields, which has given rise to a new class of machines once thought impossible. this convergence introduces complexities that prompt fundamental questions in modern science and technology, particularly from the perspective of basic mathematical theory. one issue we address in this work is the nature of communication in highly volatile, time-varying networks—networks where nodes can arbitrarily join or leave, and where edges may appear during either predictable or unpredictable time windows, influenced by factors such as mobility, communication, and policy parameters. considering these challenges, we propose a straightforward framework that dynamically represents mobile networks in a spatio-temporal context, moving toward a communication model in which nodes and edges can appear unpredictably over time—a setting that mirrors real-world networks. we provide examples of simple representations and algebraic structures, exploring how they influence network connectivity at various points in time. an illustrative example is also presented to demonstrate how this framework can be applied. looking ahead, we plan to analyze the system utility of dynamic networks under specific capacity constraints. this analysis will lead to the development of theorems that describe the network's robustness, survivability, and connectivity in the face of volatile disruptions driven by factors affecting the physical layer. ultimately, these new representations will be thoroughly evaluated through both simulations and real-life experiments to verify their effectiveness.",0.95565903
"ionic polysulfones have received widespread attention for their promising roles as ionic exchange membranes, antibacterial coatings, and dialysis membranes. therefore, the blends of the quaternized polysulfone with a tunable content of polyvinyl alcohol were obtained to create new materials that can modulate the membrane properties. the rheological response of quaternized polysulfone/polyvinyl alcohol in n-methyl-2-pyrrolidone blends to the structural peculiarity of polymers from the blend, composition of polymer mixtures, as well as the types of interactions was investigated. rheological behavior of the complex system, described by the non-linear flow curve, indicates the plasticizer effect of polyvinyl alcohol to quaternized polysulfone solutions, in order to facilitate the subsequently preparation of the bioactive membranes. additionally, the specific microarchitecture of the blends, determined using atomic force microscopy, represents an excellent porous membrane scaffold with expected future developments in the biomedical fields.","ionic polysulfones have garnered significant attention due to their potential applications as ion exchange membranes, antibacterial coatings, and dialysis membranes. to enhance membrane properties, blends of quaternized polysulfone with adjustable amounts of polyvinyl alcohol were developed. the study examined how the rheological response of quaternized polysulfone/polyvinyl alcohol blends in n-methyl-2-pyrrolidone is influenced by the polymers' structural characteristics, the composition of the mixtures, and the types of interactions present. the non-linear flow behavior observed in the complex system reveals that polyvinyl alcohol acts as a plasticizer for quaternized polysulfone solutions, which facilitates the subsequent fabrication of bioactive membranes. moreover, the distinct microarchitecture of the blends, as revealed by atomic force microscopy, creates an excellent porous membrane scaffold with promising future applications in the biomedical field.",0.98409504
"a general understanding of traditional chinese philosophy may be achieved by a concise elaboration of its truth, goodness and beauty, which, in my view, are correlated with the integration of tian (heaven) and ren (man) and zhi (knowledge) and xing (practice), as well as qing (feeling) and jing (scenery) respectively.","a broad grasp of traditional chinese philosophy can be attained by succinctly illustrating its essential elements of truth, goodness, and beauty. in my perspective, these qualities are respectively tied to the melding of tian (heaven) with ren (man), of zhi (knowledge) with xing (practice), and of qing (feeling) with jing (scenery).",0.97108066
"in this paper, by treating massive loop momenta to massless momenta in higher dimension, we are able to treat all-loop scattering equations as tree ones. as an application of the new aspect, we consider the chy-construction of bi-adjoint phi_3 theory. we present the explicit formula for two-loop planar integrands. we discuss carefully how to subtract various forward singularities in the construction. we count the number of terms obtained by our formula and by direct feynman diagram calculation and find the perfect match, thus provide a strong support for our results.","in this paper, we show that by converting massive loop momenta into massless ones in a higher-dimensional setting, the all-loop scattering equations can be recast as tree-level equations. using this approach, we explore the chy formulation of the bi-adjoint φ₃ theory. we provide an explicit formula for the two-loop planar integrands and carefully explain how to remove various forward singularities in the process. finally, we compare the number of terms produced by our formula with those derived from direct feynman diagram calculations and find an exact match, which strongly supports our results.",0.94492364
"what factors explain the perception of the effectiveness of the probationary period rating? our main goal is to identify what factors explain this perception through a case study with technical administrative employees of the federal university of pernambuco. we test the hypothesis that contextual factors are more important than personal variables. methodologically, we adopted a multi-method approach, combining case study, non participative observation, document analysis and descriptive and multivariate statistics. data was gathered from a survey carried out with 550 participants and the answers were submitted to confirmatory factor analysis which identified four dimensions (effectiveness of the probationary period rating system, institutional support, management action and recognition of the probatory period as evaluation). then, we applied linear multiple regression to estimate the effect of these three different dimensions on the perception of the effectiveness of the probationary period rating system. the results support the research hypothesis since contextual factors exert greater impact than personal variables. moreover, institutional support was the dimension that yielded highest effect. by doing this study, we expect to contribute to encourage systematic reflection on the probationary rating system and to provide input for the elaboration of public policies particularly committed to improve bureaucratic quality in brazil.","this study investigates which factors account for the perceived effectiveness of the probationary period rating. our primary objective is to understand these factors by conducting a case study involving technical administrative employees at the federal university of pernambuco. we explore the hypothesis that contextual factors have a greater influence on perceptions than personal variables. methodologically, we utilized a multi-method approach that combined a case study with non-participative observation, document analysis, and both descriptive and multivariate statistics. data were collected from a survey of 550 participants. the responses were then analyzed using confirmatory factor analysis, which revealed four dimensions: the effectiveness of the probationary period rating system, institutional support, management action, and the recognition of the probationary period as an evaluative stage. next, we applied linear multiple regression to estimate the impact of these dimensions on the perceived effectiveness of the probationary period rating system. the results confirm our hypothesis, showing that contextual factors have a stronger impact than personal variables—with institutional support being the most significant dimension. through this research, we aim to foster systematic reflection on the probationary rating system and provide valuable insights for developing public policies aimed at enhancing bureaucratic quality in brazil.",0.98795605
"the utility model discloses a two -way pivot of pitch arc rotary type, including rolling oil bearing, motor, shell fragment, breaker point, gyro wheel, micro -gap switch and jackshaft, first motor setting is inside the connecting piece, and just first motor level sets up in the top of fixed cover, and the both ends of first motor are rolled the oil bearing rotation with the first oil bearing of rolling, third respectively and are connected, the second motor is fixed to be set up in fixed cover, and the upper end of second motor is passed through the jackshaft and is connected with first motor, first shell fragment and second shell fragment all fixed cover are established on the jackshaft, the second rolls oil bearing, fourth and rolls oil bearing and the 5th roll oil bearing and use the jackshaft as the outside of angle setting such as axle center at the jackshaft, micro -gap switch's bottom is rotated with the gyro wheel and is connected. the utility model discloses can be used to realize the two -way rotation of robot head, hand, arm, leg, when saving the robot inner space, have guaranteed by 3 bearings head motion 's stability, realize that product permeability when accomplishing many complicated actions is also fine.","the utility model describes a two-way pivot of the pitch arc rotary type that includes rolling oil bearings, motors, shell fragments, a breaker point, a gyro wheel, a micro-gap switch, and a jackshaft. in this design, a first motor is installed within a connecting piece and is positioned at the top inside a fixed cover. both of its ends are coupled with rolling oil bearings (referred to as the first and third bearings) that facilitate rotation. a second motor is fixed in the same cover, and its upper end passes through the jackshaft to connect with the first motor. two shell fragments (the first and second) are mounted on the jackshaft, and additional rolling oil bearings (the second, fourth, and fifth) are arranged around the jackshaft, acting as the outer angles set with the jackshaft's center as the reference. moreover, the bottom of the micro-gap switch rotates together with the gyro wheel and is connected accordingly. this utility model is intended to enable two-way rotation in robot components such as the head, hand, arm, or leg while conserving internal space. it ensures stability through the use of three bearings during head motion and maintains efficiency when executing various complex actions.",0.8961093
"the present research work with subject special examination to the account of the costs and expenses to determinate the sustenance of the result during 2014 of the company of metallic constructions in the city of riobamba; this allowed to determine the degree of the reasonableness of the balance sheet, as well as the income statement, helping a correct decision making in order to correct certain errors present within it. the methods used for this research were interviews, direct observations and the methodology of the audit through which the results were obtained that will be of benefit to the entity. the special examination carried out on the cost and expenses account is part of the income statement, which will constitute a support tool for the manager and employees of the company, under this analysis it is concluded that there are shortcomings, one of the company. at the end of this special review, new guidelines could be established to improve the processes and development of the entity, thus helping to apply goo and new methods of work.","this research focuses on a special examination of the costs and expenses account to determine the sustainability of the company's 2014 results for a metallic constructions firm in riobamba. this analysis allowed for an evaluation of the reasonableness of the balance sheet and the income statement, thus supporting effective decision-making to correct certain identified errors. the study employed interviews, direct observations, and auditing methodologies to obtain results that will ultimately benefit the organization. the special examination of the cost and expense account, which forms part of the income statement, serves as a valuable tool for both management and employees. based on this analysis, various shortcomings in the company were identified. following this review, new guidelines could be developed to improve the entity's processes and overall development, fostering the adoption of sound and innovative work methods.",0.8593272
"the invention discloses a friction generator and a method for applying the same to generate power. the friction generator comprises an upper insulation frictional layer, a lower insulation frictional layer, a multi-layer electrode body and an electric power collecting circuit. the multi-layer electrode body comprises multiple electrode layers and an insulation dielectric layer between every two adjacent electrode layers, and is capable of reciprocating between the upper insulation frictional layer and the lower insulation frictional layer. the electric power collecting circuit connects two electrode layers in the multi-layer electrode body so as to output electric signals. the connected electrode layers are adjacent or not adjacent. according to the invention, quantity of collected electric charge can be increased; it is easy to regulate and control output voltage; and high-frequency electric signals and same-phase pulse can be easily provided.","the invention discloses a friction generator and a method for using it to generate power. the friction generator includes an upper insulating friction layer, a lower insulating friction layer, a multi-layer electrode assembly, and an electric power collecting circuit. the multi-layer electrode assembly consists of several electrode layers separated by insulating dielectric layers between each pair of adjacent electrode layers, and it is capable of moving back and forth between the upper and lower insulating friction layers. the electric power collecting circuit connects two electrode layers within the multi-layer electrode assembly to output electric signals; these connected electrode layers may be adjacent or non-adjacent. according to the invention, this configuration increases the amount of collected electric charge, simplifies the regulation and control of the output voltage, and easily provides high-frequency electric signals and in-phase pulses.",0.97213227
"the utility model provides a suspension type coin package presss from both sides turn -over device, including wallboard, first conveyer belt and second conveyer belt, first conveyer belt passes through the roller and installs the second conveyer belt is still installed in this side of wallboard in the side of wallboard, second conveyer belt package winds the one end of first conveyer belt, indirect package is around on the roller promptly, the other end of first conveyer belt is provided with out the coin passageway. the utility model discloses utilize second conveyer belt package to press from both sides the one end at first conveyer belt, the coin gets into first conveyer belt and second conveyer belt package and presss from both sides the department after the second conveyer belt is carried, and the turn -over is accomplished at this in -process on pressing from both sides transport to first conveyer belt to the coin slip -in bag. the utility model discloses all install first conveyer belt, second conveyer belt in same one side of wallboard, adopt roller cantilever unilateral fixed, need not dismantle wallboard, labour saving and time saving when changing the conveyer belt.","the utility model describes a suspension-type coin package press that rotates coins from both sides. it comprises a wallboard, a first conveyor belt, and a second conveyor belt. the first conveyor belt runs over a roller, while the second conveyor belt is mounted on the same side of the wallboard. one end of the first conveyor belt is partially wrapped by the second conveyor belt as it passes around the roller, and the opposing end of the first conveyor belt features a coin passageway. in this design, the second conveyor belt presses the coins from both sides at the end of the first conveyor belt. the coins are conveyed on both belts and, after being pressed on both sides, are flipped over during the process before being transferred to the coin slip-in bag. notably, both the first and second conveyor belts are installed on the same side of the wallboard, and the roller is fixed in a cantilever, unilateral manner. this configuration eliminates the need to dismantle the wallboard when replacing the conveyor belts, thereby saving time and labor.",0.84228414
"car door plant electronic component safety inspection frock, its structure is: including installing the rotatory frock on metal crate, rotatory frock is including the vertical support of installing on the chassis of metal crate both sides, and install between the support of both sides through the axis of rotation respectively the fixed frame both sides of rectangle, installs the runner coaxial with fixing the frame in the outside of one side support, rotates the runner and can drive fixed frame and rotate, install on fixed frame and be used for the response to wait to install the sensor of door plant and be used for pressing from both sides the pneumatic clamping mechanism who tightly waits to install the door plant. the utility model provides an automatic performance is strong and can reduce workman intensity of labour, improvement detection cycle and simple structure, convenient to use, the strong detection frock of stability.","the car door plant electronic component safety inspection rig consists of several parts. it features a rotary assembly mounted on a metal frame, with vertical supports attached to both sides of the metal crate’s chassis. between these supports, a fixed rectangular frame is connected via a rotational axis on each side. additionally, a runner is installed coaxially with the fixed frame on the outside of one support; when the runner rotates, it drives the fixed frame to rotate as well. mounted on the fixed frame are a sensor interface for the door plant and a pneumatic clamping mechanism on both sides that firmly presses the door plant into position. this utility model provides robust automatic performance, reducing manual labor intensity, shortening the inspection cycle, and offering a simple, stable, and user-friendly structure.",0.84478146
"since first joining awwa in 1968, i have wondered why the journal is so theoretical and when, if ever, it will serve the needs and interests of the primary readership i.e., engineers. from my point of view, the only purpose currently served by the journal is as a medium of information exchange between members of the academic community and perhaps the research and development staffs of some large environmental firms. it is a vehicle for those who must publish or perish. as a diplomate in the academy of environmental engineers with 15 years of experience, i understand both the theoretical and practical aspects of environmental engineering. it is my firm belief that readers of the journal would be far better served by the publication of practical rather than theoretical articles.","since i joined awwa in 1968, i have questioned why the journal remains so focused on theory and when—or if ever—it will address the needs and interests of its primary audience, namely engineers. in my opinion, the journal currently serves mainly as a platform for academic exchange, and perhaps for the r&d teams of large environmental firms, acting as a vehicle for those compelled to publish in order to advance. as a diplomate in the academy of environmental engineers with 15 years of experience, i understand both the theoretical and practical dimensions of environmental engineering. i strongly believe that the journal's readers would benefit much more from practical articles than from those that are purely theoretical.",0.9600658
"crowd counting is an important task in computer vision, which has many applications in video surveillance. although the regression-based framework has achieved great improvements for crowd counting, how to improve the discriminative power of image representation is still an open problem. conventional holistic features used in crowd counting often fail to capture semantic attributes and spatial cues of the image. in this paper, we propose integrating semantic information into learning locality-aware feature sets for accurate crowd counting. first, with the help of convolutional neural network (cnn), the original pixel space is mapped onto a dense attribute feature map, where each dimension of the pixel-wise feature indicates the probabilistic strength of a certain semantic class. then, locality-aware features (laf) built on the idea of spatial pyramids on neighboring patches are proposed to explore more spatial context and local information. finally, the traditional vlad encoding method is extended to a more generalized form in which diverse coefficient weights are taken into consideration. experimental results validate the effectiveness of our presented method.","crowd counting plays a crucial role in computer vision, particularly in video surveillance applications. although regression-based approaches have made significant strides, enhancing the discriminative capability of image representations remains an unresolved challenge. traditional holistic features often used in crowd counting tend to overlook semantic attributes and spatial cues within images. in this work, we introduce a method that integrates semantic information into the learning of locality-aware feature sets, aiming for more precise crowd counting. first, a convolutional neural network (cnn) is employed to transform the original pixel space into a dense attribute feature map, where each pixel-wise feature dimension reflects the probability of a specific semantic class. next, we propose locality-aware features (laf), inspired by spatial pyramids constructed on adjacent patches, to capture richer spatial context and localized details. finally, we extend the classic vlad encoding technique into a more generalized version that incorporates diverse coefficient weights. experimental results demonstrate the effectiveness of our proposed approach.",0.985716
"background:prediction of risk of severe hypoglycemia (sh) in patients with type 1 diabetes is important to prevent future episodes, but it is unknown if it is possible to predict the long-term risk of sh. the aim of the study is to assess if long-term prediction of sh is possible in type 1 diabetes.methods:a follow-up study was performed with 98 patients with type 1 diabetes. at baseline and at follow-up, the patients filled in a questionnaire about diabetes history and complications, number of sh in the preceding year and state of awareness, and hba1c and c-peptide levels were measured.results:during the 12 years of follow-up, there was a decrease in hba1c, c-peptide levels, and incidence of sh (1.1 to 0.4 episodes per patient-year; p < .001). at baseline, the relative rate of sh was 3.6 (p = .001) and 10.9 (p < .0001) in patients with impaired awareness and unawareness of hypoglycemia, respectively, as compared to patients with normal awareness. at follow-up, patients with unawareness at baseline tended...","background: predicting the risk of severe hypoglycemia (sh) among type 1 diabetes patients is crucial for preventing future episodes, yet it remains unclear whether the long‐term risk of sh can be forecasted. the study aimed to determine if long-term prediction of sh is feasible in individuals with type 1 diabetes. methods: a follow-up study was conducted involving 98 type 1 diabetes patients. at both baseline and follow-up, participants completed a questionnaire covering their diabetes history, complications, the number of sh episodes experienced during the previous year, and their level of hypoglycemia awareness. additionally, hba1c and c-peptide levels were measured. results: over the 12-year follow-up period, there was a notable decrease in hba1c levels, c-peptide levels, and the incidence of sh (falling from 1.1 to 0.4 episodes per patient-year; p < .001). at baseline, patients with impaired hypoglycemia awareness had a relative sh rate of 3.6 (p = .001), and those with complete unawareness had a rate of 10.9 (p < .0001), compared to patients with normal awareness. at follow-up, patients who had experienced unawareness at baseline tended...",0.9829544
